STEP 0; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 7, Y = 7 }. Found 0 resources out of10
STEP 1; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 6, Y = 6 }. Found 0 resources out of10
STEP 2; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 5, Y = 6 }. Found 0 resources out of10
STEP 3; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 1 resources out of10
STEP 4; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 3, Y = 6 }. Found 1 resources out of10
STEP 5; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 5 }. Found 1 resources out of10
STEP 6; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 4 }. Found 1 resources out of10
STEP 7; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 3 }. Found 1 resources out of10
STEP 8; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 2 }. Found 1 resources out of10
STEP 9; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 1 resources out of10
STEP 10; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 1 resources out of10
STEP 11; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 4, Y = 6 }. Found 1 resources out of10
STEP 12; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 3 }. Found 1 resources out of10
STEP 13; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 2 }. Found 1 resources out of10
STEP 14; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 1 }. Found 1 resources out of10
STEP 15; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 0 }. Found 1 resources out of10
STEP 16; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 1 }. Found 1 resources out of10
STEP 17; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 0 }. Found 1 resources out of10
STEP 18; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 2 }. Found 1 resources out of10
STEP 19; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 2, Y = 6 }. Found 1 resources out of10
STEP 20; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 1, Y = 6 }. Found 1 resources out of10
STEP 21; EVENT Error; UNIT rover - 1; POSITION Coordinate { X = 0, Y = 5 }. Found 1 resources out of10
